id,name,mode,lat,lon,live_crowding_percentage,live_data_available,day_of_week,last_updated
940GZZLUBXN,Brixton Underground Station,tube,51.462618,-0.114888,,False,,
940GZZLUBZP,Belsize Park Underground Station,tube,51.550311,-0.164648,,False,,
940GZZLUCAL,Chalfont & Latimer Underground Station,tube,51.667985,-0.560689,,False,,
940GZZLUCAR,Caledonian Road Underground Station,tube,51.548519,-0.118493,,False,,
940GZZLUCFM,Chalk Farm Underground Station,tube,51.544118,-0.153388,,False,,
940GZZLUCGN,Covent Garden Underground Station,tube,51.513093,-0.124436,,False,,
940GZZLUCGT,Canning Town Underground Station,tube,51.513584,0.008322,,False,,
940GZZLUCHL,Chancery Lane Underground Station,tube,51.518247,-0.111583,,False,,
940GZZLUCHX,Charing Cross Underground Station,tube,51.50741,-0.127277,,False,,
940GZZLUCKS,Cockfosters Underground Station,tube,51.65152,-0.149171,,False,,
940GZZLUCND,Colindale Underground Station,tube,51.595424,-0.249919,,False,,
940GZZLUCPC,Clapham Common Underground Station,tube,51.461742,-0.138317,,False,,
940GZZLUCPK,Canons Park Underground Station,tube,51.607701,-0.294693,,False,,
940GZZLUCPN,Clapham North Underground Station,tube,51.465135,-0.130016,,False,,
940GZZLUCPS,Clapham South Underground Station,tube,51.452654,-0.147582,,False,,
940GZZLUCSD,Colliers Wood Underground Station,tube,51.41816,-0.178086,,False,,
940GZZLUCSM,Chesham Underground Station,tube,51.705208,-0.611247,,False,,
940GZZLUCST,Cannon Street Underground Station,tube,51.51151,-0.090432,,False,,
940GZZLUCTN,Camden Town Underground Station,tube,51.539292,-0.14274,,False,,
940GZZLUCWL,Chigwell Underground Station,tube,51.617916,0.075041,,False,,
940GZZLUCWP,Chiswick Park Underground Station,tube,51.494627,-0.267972,,False,,
940GZZLUCWR,Canada Water Underground Station,tube,51.497931,-0.049405,,False,,
940GZZLUCXY,Croxley Underground Station,tube,51.647044,-0.441718,,False,,
940GZZLUCYD,Chorleywood Underground Station,tube,51.654358,-0.518461,,False,,
940GZZLUCYF,Canary Wharf Underground Station,tube,51.503488,-0.018246,,False,,
940GZZLUDBN,Debden Underground Station,tube,51.645386,0.083782,14.01,True,WED,18:11
940GZZLUDGE,Dagenham East Underground Station,tube,51.544096,0.166017,,False,,
940GZZLUDGY,Dagenham Heathway Underground Station,tube,51.541639,0.147527,11.93,True,WED,18:11
